0.007,-0.0, -0.03222146, -20.8591, -0.9
0.010,-0.0, -0.03222146, -20.8591, -0.9
0.019,-0.0, -0.03222146, -20.87629, -0.9
0.021,0.03222146, -0.03222146, -20.87629, -0.9
0.030,0.03222146, 0.0, -20.8591, -0.9
0.032,0.06444293, 0.0, -20.8591, -0.9
0.041,0.1288859, 0.0966644, -21.27148, -0.9
0.043,0.1611073, 0.1288859, -21.27148, -0.9
0.052,0.2577717, 0.2255502, -21.27148, -0.9
0.054,0.3222147, 0.2577717, -21.27148, -0.9
0.063,0.4511004, 0.3544361, -19.86254, -0.9
0.064,0.483322, 0.3866576, -19.86254, -0.9
0.073,0.6444293, 0.5155434, -20.65292, -0.9
0.141,2.352167, 2.029952, -19.0378, -0.9
0.155,2.609939, 2.448832, -16.18557, 0.9
0.163,3.061039, 2.674382, -15.4811, -0.9
0.165,3.093261, 2.738825, -15.4811, -0.9
0.173,3.286589, 2.899932, -18.24742, -0.9
0.175,3.318811, 2.932153, -18.24742, -0.9
0.184,3.51214, 3.093261, -18.8488, -0.9
0.185,3.544361, 3.125482, -18.8488, -0.9
0.194,3.73769, 3.318811, -18.64261, -0.9
0.197,3.802133, 3.415475, -18.64261, -0.9
0.204,3.995461, 3.608804, -18.43642, -0.9
0.207,4.059905, 3.673247, -18.43642, -0.9
0.219,4.382119, 4.027683, -19.05498, -0.9
0.227,4.639891, 4.317677, -18.43642, -0.9
0.230,4.736556, 4.41434, -18.43642, -0.9
0.238,4.962106, 4.672112, -18.64261, -0.9
0.241,5.05877, 4.768777, -18.64261, -0.9
0.249,5.316542, 5.05877, -16.64948, 0.4515781
0.251,5.413206, 5.123213, -16.64948, -0.9
0.259,5.670978, 5.445427, -16.87285, -0.9
0.261,5.735421, 5.509871, -16.87285, -0.9
0.270,6.025414, 5.832085, -17.33677, -0.9
0.271,6.089857, 5.896528, -17.33677, -0.9
0.280,6.37985, 6.250964, -17.1134, -0.9
0.283,6.476514, 6.347629, -17.1134, -0.9
0.290,6.766507, 6.669844, -17.57732, -0.9
0.293,6.863172, 6.766507, -17.57732, -0.9
0.301,7.153165, 7.088722, -16.87285, -0.9
0.303,7.282051, 7.217607, -16.87285, -0.9
0.312,7.604266, 7.572044, -15.72165, -0.9
0.314,7.668709, 7.668709, -15.72165, -0.9
0.327,8.216473, 8.280916, -16.64948, -0.9
0.336,8.57091, 8.699795, -16.18557, -0.9
0.338,8.667574, 8.796459, -16.18557, -0.9
0.346,8.989788, 9.183117, -14.55326, -0.9
0.348,9.054232, 9.247561, -14.55326, -0.9
0.360,9.601997, 9.859769, -14.55326, -0.9
0.362,9.698661, 9.956432, -14.55326, -0.9
0.370,10.0531, 10.37531, -14.57045, -0.9
0.372,10.14976, 10.47198, -14.57045, -0.9
0.381,10.53642, 10.92308, -13.8488, -0.9
0.383,10.60086, 10.98752, -13.8488, -0.9
0.391,10.98752, 11.4064, -13.38488, -0.9
0.393,11.05196, 11.56751, -13.38488, -0.9
0.401,11.43862, 11.95416, -13.40206, -0.9
0.403,11.56751, 12.11527, -13.40206, -0.9
0.411,11.92194, 12.50193, -12.23368, -0.9
0.414,12.05083, 12.63081, -12.23368, -0.9
0.421,12.40526, 13.04969, -11.76976, -0.9
0.424,12.50193, 13.17858, -11.76976, -0.9
0.432,12.85636, 13.62968, -12.23368, -0.9
0.434,12.98525, 13.72634, -12.23368, -0.9
0.442,13.40413, 14.20967, -12.23368, -0.9
0.444,13.50079, 14.30633, -12.23368, -0.9
0.452,13.88745, 14.75743, -11.08247, -0.9
0.454,13.98412, 14.8541, -11.08247, -0.9
0.462,14.40299, 15.30519, -11.08247, -0.9
0.463,14.49966, 15.40186, -11.08247, -0.9
0.471,14.91854, 15.85296, -10.56701, -0.9
0.473,15.0152, 15.98185, -10.56701, -0.9
0.486,15.43408, 16.40073, -10.56701, -0.9
0.499,16.33628, 17.39959, -10.2921, -0.9
0.501,16.49739, 17.52848, -10.2921, -0.9
