t_ms,ax_mg,ay_mg,az_mg,roll_acc_deg,pitch_acc_deg,gyro_int_roll,gyro_int_pitch
817,0,0,1000,0.044,-0.043,-0.000,-0.000
823,2,-1,998,-0.096,-0.155,-0.000,-0.000
829,0,1,997,0.072,0.013,-0.000,-0.000
836,1,0,997,-0.040,-0.099,-0.000,-0.000
841,-1,0,999,-0.012,0.097,-0.000,-0.000
853,0,0,999,-0.040,-0.015,-0.000,-0.000
859,0,-1,1000,-0.068,-0.043,-0.000,-0.000
865,2,0,1000,0.044,-0.126,-0.000,-0.000
871,2,1,1000,0.100,-0.126,-0.000,-0.000
877,0,-1,1000,-0.068,0.013,-0.000,-0.000
884,1,0,999,-0.040,-0.071,-0.000,-0.000
889,0,0,999,0.016,0.041,-0.000,-0.000
896,0,2,1001,0.155,-0.015,-0.000,-0.000
901,0,-1,999,-0.096,-0.043,-0.000,-0.000
908,2,1,1000,0.072,-0.154,-0.000,-0.000
918,0,1,999,0.072,-0.015,-0.000,-0.000
923,0,0,998,0.016,0.041,-0.000,-0.000
929,0,1,999,0.100,-0.043,-0.000,-0.000
936,0,3,998,0.184,-0.043,-0.000,-0.000
942,0,0,999,-0.040,-0.015,-0.000,-0.000
948,1,0,999,-0.012,-0.099,-0.000,-0.000
954,-2,0,1001,0.044,0.153,-0.000,-0.000
961,1,0,999,-0.040,-0.071,-0.000,-0.000
966,0,-2,999,-0.124,0.013,-0.000,-0.000
973,-1,0,999,0.044,0.097,-0.000,-0.000
978,1,0,999,-0.012,-0.099,-0.000,-0.000
985,2,-1,999,-0.068,-0.127,-0.000,-0.000
990,-1,-1,999,-0.068,0.069,-0.000,-0.000
996,1,0,998,-0.012,-0.071,-0.000,-0.000
1002,0,-1,1000,-0.068,0.041,-0.000,-0.000
1009,0,1,999,0.072,-0.043,-0.000,-0.000
1014,1,-2,999,-0.124,-0.099,-0.000,-0.000
1020,2,1,999,0.072,-0.127,-0.000,-0.000
1026,1,0,1001,0.016,-0.071,-0.000,-0.000
1033,0,0,999,0.044,-0.043,-0.000,-0.000
1038,0,-1,999,-0.068,-0.015,-0.000,-0.000
1044,0,-1,999,-0.096,0.013,-0.000,-0.000
1050,0,0,999,0.044,-0.043,-0.000,-0.000
1057,0,2,999,0.128,-0.015,-0.000,-0.000
1067,0,-1,1000,-0.068,-0.015,-0.000,-0.000
1073,-2,0,1001,0.044,0.153,-0.000,-0.000
1082,0,0,999,0.044,-0.015,-0.000,-0.000
1088,0,1,998,0.072,0.013,-0.000,-0.000
1095,0,0,997,0.044,-0.015,-0.000,-0.000
1101,-1,0,998,0.016,0.069,-0.000,-0.000
1107,0,-1,999,-0.096,0.013,-0.000,-0.000
1114,0,1,998,0.100,0.013,-0.000,-0.000
1120,1,-1,999,-0.068,-0.099,-0.000,-0.000
1126,2,0,999,-0.012,-0.127,-0.000,-0.000
1133,2,0,1000,-0.012,-0.126,-0.000,-0.000
1139,0,-1,1000,-0.096,-0.043,-0.000,-0.000
1144,1,0,1000,-0.012,-0.071,-0.000,-0.000
1150,0,0,1000,-0.012,0.013,-0.000,-0.000
1156,1,-1,999,-0.068,-0.099,-0.000,-0.000
1163,1,0,999,-0.040,-0.071,-0.000,-0.000
1168,-1,0,1000,-0.012,0.069,-0.000,-0.000
1174,-1,1,999,0.100,0.097,-0.000,-0.000
1180,0,1,999,0.072,-0.043,-0.000,-0.000
1187,0,0,999,-0.012,-0.015,-0.000,-0.000
1193,0,0,999,0.044,-0.015,-0.000,-0.000
1198,0,-1,998,-0.068,-0.043,-0.000,-0.000
1204,0,0,999,0.044,-0.015,-0.000,-0.000
1211,-2,-1,999,-0.068,0.125,-0.000,-0.000
1216,-1,1,999,0.072,0.069,-0.000,-0.000
1222,0,1,1000,0.072,0.013,-0.000,-0.000
1228,0,0,999,-0.012,0.041,-0.000,-0.000
1239,-1,0,1000,-0.012,0.069,-0.000,-0.000
1245,1,-1,999,-0.068,-0.071,-0.000,-0.000
1251,0,1,999,0.072,0.041,-0.000,-0.000
1258,0,-1,999,-0.068,0.013,-0.000,-0.000
1264,-1,0,999,0.044,0.069,-0.000,-0.000
1270,-2,0,999,0.044,0.153,-0.000,-0.000
1276,0,2,998,0.128,0.041,-0.000,-0.000
1287,0,-1,1000,-0.096,-0.043,-0.000,-0.000
1293,0,0,996,0.016,-0.015,-0.000,-0.000
1299,1,3,999,0.212,-0.071,-0.000,-0.000
1305,-1,0,999,0.044,0.069,-0.000,-0.000
1312,0,0,998,-0.012,0.041,-0.000,-0.000
1317,-1,0,998,-0.012,0.069,-0.000,-0.000
1323,1,1,998,0.072,-0.071,-0.000,-0.000
1329,0,1,999,0.100,0.041,-0.000,-0.000
1336,0,0,999,-0.012,0.013,-0.000,-0.000
1341,0,0,1000,0.044,0.013,-0.000,-0.000
1347,-1,1,999,0.100,0.097,-0.000,-0.000
1353,0,1,1001,0.072,0.041,-0.000,-0.000
1360,0,3,998,0.212,-0.015,-0.000,-0.000
1365,1,-1,1000,-0.068,-0.071,-0.000,-0.000
1371,2,-2,1001,-0.152,-0.154,-0.000,-0.000
1377,0,2,1000,0.128,0.041,-0.000,-0.000
1384,-4,0,1000,0.016,0.237,-0.000,-0.000
1389,-1,0,1000,-0.040,0.097,-0.000,-0.000
1443,1,0,999,0.044,-0.071,-0.000,-0.000
1449,2,1,1000,0.100,-0.126,-0.000,-0.000
1456,1,0,999,0.016,-0.099,-0.000,-0.000
1462,0,0,997,-0.012,0.041,-0.000,-0.000
1468,0,0,1002,0.016,-0.043,-0.000,-0.000
1475,-1,0,999,0.044,0.069,-0.000,-0.000
1481,0,0,999,0.044,0.041,-0.000,-0.000
1487,0,1,997,0.072,0.041,-0.000,-0.000
1494,-1,0,999,0.016,0.097,-0.000,-0.000
1499,1,0,998,-0.012,-0.071,-0.000,-0.000
1505,-1,0,1001,0.016,0.069,-0.000,-0.000
1511,-2,1,998,0.100,0.125,-0.000,-0.000
1518,0,0,1001,-0.012,-0.015,-0.000,-0.000
1523,0,1,999,0.072,-0.043,-0.000,-0.000
1529,1,-1,999,-0.068,-0.099,-0.000,-0.000
1540,2,0,999,-0.040,-0.155,-0.000,-0.000
1547,0,0,999,0.044,-0.043,-0.000,-0.000
1553,0,0,999,0.044,-0.015,-0.000,-0.000
1559,0,1,999,0.072,0.013,-0.000,-0.000
1566,1,1,999,0.100,-0.071,-0.000,-0.000
1573,0,0,998,-0.040,-0.043,-0.000,-0.000
1578,-1,0,1001,0.044,0.069,-0.000,-0.000
1585,-1,0,1001,-0.012,0.097,-0.000,-0.000
1591,-2,0,998,-0.012,0.153,-0.000,-0.000
1597,0,0,1000,0.016,-0.015,-0.000,-0.000
1607,0,-1,1000,-0.096,0.013,-0.000,-0.000
1614,-1,0,999,0.016,0.097,-0.000,-0.000
1620,0,0,998,0.016,0.013,-0.000,-0.000
1626,-1,1,999,0.072,0.069,-0.000,-0.000
1633,-2,0,999,-0.012,0.125,-0.000,-0.000
1639,0,0,998,0.016,-0.015,-0.000,-0.000
1644,0,0,998,0.016,-0.043,-0.000,-0.000
1650,0,1,1000,0.072,0.013,-0.000,-0.000
1657,0,0,999,-0.040,0.041,-0.000,-0.000
1663,-1,0,999,-0.040,0.069,-0.000,-0.000
1669,-2,0,999,-0.040,0.125,-0.000,-0.000
1676,0,1,999,0.072,0.041,-0.000,-0.000
1682,0,-1,1001,-0.068,-0.043,-0.000,-0.000
1687,0,0,999,-0.012,0.041,-0.000,-0.000
1693,-1,-1,999,-0.068,0.097,-0.000,-0.000
1699,0,0,1000,-0.040,0.013,-0.000,-0.000
1706,0,0,999,0.044,-0.043,-0.000,-0.000
1711,0,0,999,-0.040,0.013,-0.000,-0.000
1717,0,-1,1001,-0.068,0.013,-0.000,-0.000
1723,1,-1,1001,-0.096,-0.070,-0.000,-0.000
1730,0,-1,1000,-0.068,-0.015,-0.000,-0.000
1736,0,0,999,0.016,-0.015,-0.000,-0.000
1741,0,-1,999,-0.096,0.041,-0.000,-0.000
1747,0,1,1000,0.072,0.013,-0.000,-0.000
1758,-2,-1,999,-0.096,0.153,-0.000,-0.000
1768,-1,2,999,0.128,0.097,-0.000,-0.000
1774,-1,-2,999,-0.124,0.069,-0.000,-0.000
1780,0,1,999,0.100,0.041,-0.000,-0.000
1787,0,0,997,0.044,-0.015,-0.000,-0.000
1793,0,-1,999,-0.068,-0.015,-0.000,-0.000
1799,-1,-1,1000,-0.068,0.069,-0.000,-0.000
1806,0,0,1000,0.044,0.013,-0.000,-0.000
1813,0,1,998,0.072,0.013,-0.000,-0.000
1818,0,-1,1001,-0.068,0.013,-0.000,-0.000
1824,0,0,1000,0.016,-0.043,-0.000,-0.000
1831,1,-1,997,-0.068,-0.071,-0.000,-0.000
1836,-1,-1,1000,-0.096,0.069,-0.000,-0.000
1842,1,-2,1001,-0.124,-0.070,-0.000,-0.000
1848,0,0,1001,-0.040,0.041,-0.000,-0.000
1855,0,1,999,0.072,0.041,-0.000,-0.000
1860,0,0,999,-0.040,-0.015,-0.000,-0.000
1866,0,-2,998,-0.124,0.013,-0.000,-0.000
1873,0,1,1001,0.100,-0.015,-0.000,-0.000
1879,0,0,998,0.044,0.041,-0.000,-0.000
1884,-1,1,999,0.072,0.097,-0.000,-0.000
1890,0,2,999,0.128,0.013,-0.000,-0.000
1896,0,-1,999,-0.068,0.013,-0.000,-0.000
1903,0,0,998,0.044,0.013,-0.000,-0.000
1908,0,-1,1000,-0.096,-0.043,-0.000,-0.000
1914,0,-1,1000,-0.096,0.013,-0.000,-0.000
1924,0,0,999,0.016,0.013,-0.000,-0.000
1931,0,0,1000,0.044,-0.015,-0.000,-0.000
1937,0,-2,998,-0.124,0.041,-0.000,-0.000
1943,0,1,999,0.100,0.013,-0.000,-0.000
1949,1,0,998,-0.040,-0.071,-0.000,-0.000
1956,0,1,998,0.100,-0.043,-0.000,-0.000
1961,1,0,1000,0.044,-0.071,-0.000,-0.000
1967,0,0,999,-0.012,-0.015,-0.000,-0.000
1973,-1,0,1002,0.044,0.069,-0.000,-0.000
1981,2,1,1001,0.072,-0.126,-0.000,-0.000
1987,2,1,999,0.100,-0.127,-0.000,-0.000
1994,2,-1,998,-0.068,-0.155,-0.000,-0.000
