t_ms,ax_g,ax_lpf_g
1833,0.001,0.000
1840,-0.001,-0.001
1845,-0.001,-0.001
1851,0.000,-0.000
1857,-0.001,-0.001
1864,0.001,0.000
1869,-0.001,-0.001
1875,-0.001,-0.001
1881,-0.001,-0.001
1888,-0.002,-0.002
1893,0.001,0.001
1899,0.001,0.001
1905,0.001,0.001
1912,-0.002,-0.002
1922,0.001,0.001
1929,0.001,0.001
1937,0.002,0.002
1943,-0.000,-0.000
1949,0.001,0.001
1956,0.001,0.001
1961,-0.002,-0.002
1967,-0.000,-0.001
1973,-0.000,-0.000
1980,0.000,-0.000
1985,0.001,0.001
1991,0.002,0.002
1997,0.000,0.000
2004,0.001,0.001
2009,0.001,0.001
2015,0.001,0.001
2021,0.000,0.000
2028,-0.000,-0.000
2033,0.001,0.000
2039,0.001,0.001
2045,0.002,0.002
2052,0.001,0.001
2057,0.001,0.001
2063,0.000,0.000
2069,0.000,0.000
2076,-0.000,-0.000
2081,0.000,-0.000
2087,-0.000,-0.000
2093,0.000,-0.000
2100,-0.000,-0.000
2105,-0.001,-0.001
2111,0.002,0.002
2117,0.000,0.000
2124,0.001,0.001
2129,-0.001,-0.001
2135,0.001,0.000
2141,0.001,0.001
2148,0.001,0.001
2153,-0.000,-0.000
2159,-0.000,-0.000
2165,-0.000,-0.000
2172,0.000,-0.000
2177,0.001,0.001
2183,0.000,0.000
2189,-0.001,-0.001
2196,0.001,0.000
2206,0.001,0.001
2212,0.001,0.001
2218,0.001,0.001
2225,0.001,0.001
2230,-0.000,-0.000
2236,-0.000,-0.000
2242,-0.002,-0.002
2249,0.000,-0.000
2254,0.001,0.001
2260,0.000,0.000
2266,0.001,0.001
2273,0.000,0.000
2283,0.001,0.001
2289,-0.003,-0.003
2294,0.000,-0.000
2300,0.001,0.001
2307,0.002,0.002
2312,-0.000,-0.000
2318,0.001,0.001
2324,0.001,0.001
2331,0.000,0.000
2336,0.001,0.001
2342,-0.002,-0.002
2349,-0.000,-0.001
2355,-0.001,-0.001
2361,0.001,0.000
2367,0.002,0.002
2374,0.002,0.002
2379,0.001,0.002
2385,-0.001,-0.001
2391,-0.000,-0.000
2398,-0.001,-0.001
2403,0.002,0.002
2409,0.000,0.000
2415,0.001,0.000
2422,0.002,0.002
2427,0.002,0.002
2433,0.000,0.000
2439,-0.000,-0.000
2446,0.000,-0.000
2451,0.001,0.000
2457,0.002,0.002
2463,-0.001,-0.001
2470,0.001,0.001
2480,0.000,0.000
2486,0.001,0.000
2492,0.001,0.001
2499,0.002,0.002
2504,0.000,0.000
2510,-0.003,-0.003
2516,-0.000,-0.001
2523,0.001,0.001
