t_ms,ax_g,ax_lpf_g
2,0.001,0.001
7,-0.000,0.000
14,-0.001,-0.000
24,-0.002,-0.001
29,0.000,-0.000
35,-0.002,-0.001
42,-0.001,-0.001
48,-0.003,-0.002
53,-0.000,-0.001
59,0.001,0.000
66,0.001,0.000
71,-0.001,-0.000
77,-0.001,-0.001
83,-0.001,-0.001
90,-0.000,-0.000
96,0.000,-0.000
101,0.000,0.000
107,-0.002,-0.001
114,-0.001,-0.001
119,0.000,-0.000
125,-0.000,-0.000
131,-0.000,-0.000
138,-0.001,-0.001
143,0.001,0.000
149,0.002,0.001
155,-0.001,0.000
162,-0.000,-0.000
168,-0.001,-0.000
173,0.002,0.001
179,-0.001,-0.000
241,-0.000,-0.000
247,-0.001,-0.000
254,-0.000,-0.000
260,-0.000,-0.000
266,-0.002,-0.001
273,0.001,-0.000
278,-0.000,-0.000
284,-0.000,-0.000
290,0.001,0.000
297,0.002,0.001
302,0.002,0.001
308,0.001,0.001
314,-0.001,0.000
321,-0.001,-0.000
326,-0.001,-0.001
336,-0.000,-0.000
342,-0.001,-0.001
348,-0.001,-0.001
355,-0.001,-0.001
361,0.000,-0.000
367,0.002,0.001
374,-0.000,0.000
379,-0.001,-0.000
385,-0.000,-0.000
391,-0.001,-0.001
398,0.002,0.000
403,-0.000,0.000
409,0.001,0.000
415,0.000,0.000
422,-0.001,-0.000
430,0.002,0.001
437,-0.001,0.000
442,-0.000,-0.000
448,0.001,0.001
455,0.000,0.000
461,-0.001,-0.000
466,-0.001,-0.000
472,-0.001,-0.001
478,-0.000,-0.000
485,0.000,-0.000
490,0.000,0.000
496,0.006,0.003
502,0.002,0.002
509,0.002,0.002
514,0.001,0.002
520,-0.003,-0.001
526,0.000,-0.000
533,-0.002,-0.001
538,-0.001,-0.001
544,0.002,0.000
550,-0.001,-0.000
557,-0.001,-0.001
562,0.003,0.001
568,-0.002,-0.001
574,0.001,0.000
581,-0.001,-0.001
586,-0.000,-0.000
592,0.000,-0.000
598,-0.000,-0.000
606,-0.000,-0.000
611,0.002,0.001
617,0.002,0.002
624,0.002,0.002
629,0.001,0.002
635,-0.000,0.001
641,-0.000,0.000
648,-0.000,-0.000
653,-0.000,-0.000
659,-0.003,-0.001
665,-0.002,-0.002
672,0.001,-0.001
677,-0.004,-0.002
683,0.000,-0.001
689,0.002,0.000
696,0.001,0.001
701,-0.001,0.000
707,0.001,0.000
713,0.002,0.001
720,0.004,0.002
725,0.002,0.002
731,0.002,0.002
737,-0.001,0.000
744,0.000,0.000
749,-0.001,-0.000
755,-0.001,-0.000
761,-0.001,-0.001
768,-0.002,-0.001
773,0.001,-0.000
779,-0.001,-0.001
785,-0.003,-0.002
795,0.001,-0.001
802,0.000,-0.000
807,-0.000,-0.000
813,-0.001,-0.000
819,0.000,-0.000
826,0.000,0.000
831,-0.000,-0.000
837,-0.002,-0.001
843,0.000,-0.000
850,-0.001,-0.001
855,0.000,-0.000
861,-0.000,-0.000
867,-0.001,-0.001
875,0.001,0.000
880,0.001,0.001
886,-0.002,-0.001
893,0.001,0.000
898,-0.000,0.000
904,0.000,0.000
910,-0.001,-0.000
917,-0.000,-0.000
922,0.000,-0.000
928,-0.001,-0.000
934,0.002,0.001
941,0.001,0.001
946,0.002,0.002
952,0.001,0.001
958,-0.001,0.000
965,0.001,0.000
970,0.002,0.001
976,0.000,0.001
982,-0.002,-0.001
989,0.001,-0.000
995,-0.000,-0.000
1000,0.000,0.000
1006,-0.001,-0.000
1013,0.000,-0.000
1018,0.000,0.000
1024,-0.001,-0.000
1030,0.001,0.000
1037,0.001,0.001
1043,0.000,0.001
1048,-0.000,0.000
1054,0.001,0.000
1061,-0.003,-0.001
1067,-0.000,-0.001
1072,0.000,-0.000
1078,0.000,0.000
1085,0.001,0.001
1091,0.000,0.000
1096,-0.001,-0.000
1102,-0.000,-0.000
1109,-0.001,-0.001
1115,-0.003,-0.002
1120,-0.002,-0.002
1126,-0.001,-0.001
1133,0.001,-0.000
1144,-0.002,-0.001
1153,0.002,0.000
1159,0.001,0.001
1165,-0.001,-0.000
1172,0.000,0.000
1177,0.001,0.000
1183,0.001,0.001
1189,-0.001,0.000
1196,0.001,0.000
1201,-0.001,-0.000
1207,0.002,0.001
1213,0.001,0.001
1220,0.000,0.001
1225,0.001,0.001
1231,0.001,0.001
1237,0.001,0.001
1244,0.001,0.001
1249,0.002,0.002
1255,0.002,0.002
1261,0.001,0.001
1268,0.001,0.001
1273,-0.002,-0.000
1279,0.001,0.000
1285,-0.001,-0.000
1292,-0.001,-0.001
1297,0.002,0.000
1303,-0.002,-0.001
1309,0.000,-0.000
1316,-0.001,-0.001
1321,-0.000,-0.000
1327,-0.000,-0.000
1333,-0.001,-0.001
1340,-0.001,-0.001
1345,0.001,0.000
1351,-0.002,-0.001
1357,0.001,0.000
1364,0.001,0.000
1369,0.002,0.001
1375,0.001,0.001
1381,-0.002,-0.001
1388,-0.001,-0.001
1393,0.002,0.001
1399,0.002,0.001
1405,-0.001,0.000
1417,-0.000,-0.000
1423,0.000,0.000
1429,0.001,0.000
1436,-0.001,-0.000
1442,0.001,0.001
1447,0.000,0.000
1453,0.002,0.001
1460,0.002,0.001
1465,-0.001,0.000
1471,0.001,0.000
1477,-0.000,0.000
1484,0.000,0.000
1490,0.000,0.000
1495,-0.002,-0.001
1501,-0.001,-0.001
1556,0.001,0.000
1562,-0.001,-0.000
1567,0.001,0.000
1573,-0.000,-0.000
1579,0.002,0.001
1585,0.001,0.001
1591,-0.001,0.000
1597,-0.002,-0.001
1603,0.001,-0.000
1610,0.001,0.001
1615,0.002,0.001
1621,0.001,0.001
1627,-0.001,0.000
1634,0.001,0.001
1639,-0.001,-0.000
1645,0.003,0.002
1651,-0.001,0.000
1658,0.000,0.000
1663,-0.004,-0.002
1669,-0.001,-0.001
1675,-0.000,-0.001
1682,-0.001,-0.001
1687,0.001,0.000
1693,-0.001,-0.000
1699,0.000,-0.000
1706,0.003,0.001
1711,-0.001,0.000
1721,0.001,0.001
1726,-0.000,0.000
1732,-0.001,-0.000
1739,0.000,0.000
1744,0.001,0.000
1750,0.000,0.000
1756,-0.000,0.000
1763,-0.000,-0.000
1768,-0.002,-0.001
1774,-0.001,-0.001
1780,-0.001,-0.001
1787,-0.001,-0.001
1792,-0.000,-0.001
1798,0.001,0.000
1804,-0.001,-0.000
1811,-0.002,-0.001
1816,0.003,0.001
1822,0.001,0.001
1828,0.001,0.001
1835,-0.001,-0.000
1840,-0.001,-0.001
1846,-0.001,-0.001
1852,-0.001,-0.001
1859,0.001,-0.000
1864,0.002,0.001
1870,0.001,0.001
1876,-0.001,0.000
1883,0.003,0.001
1888,-0.002,-0.000
1894,-0.002,-0.001
1904,0.001,0.000
1910,-0.002,-0.001
1917,-0.001,-0.001
1922,-0.002,-0.001
1928,0.000,-0.001
1934,0.001,0.000
1941,0.002,0.001
1946,0.001,0.001
1952,0.002,0.002
1958,-0.001,0.000
1965,-0.001,-0.000
1970,-0.000,-0.000
1976,-0.002,-0.001
1982,-0.002,-0.001
1995,0.001,-0.000
2000,0.002,0.001
2006,0.002,0.001
2013,-0.000,0.000
2018,-0.001,-0.000
2024,-0.001,-0.000
2030,-0.001,-0.001
2037,-0.001,-0.001
2042,-0.001,-0.001
2048,-0.002,-0.001
2054,-0.001,-0.001
2061,0.000,-0.001
2066,-0.001,-0.001
2072,0.000,-0.000
2078,-0.001,-0.000
2085,-0.001,-0.001
2090,0.001,0.000
2096,0.000,0.000
2102,0.002,0.001
2109,0.002,0.001
2115,-0.000,0.001
2120,0.001,0.001
2126,0.002,0.002
2133,0.000,0.001
2138,0.000,0.001
2144,0.002,0.001
2150,0.000,0.001
2157,0.001,0.001
2163,0.000,0.001
2168,-0.001,-0.000
2174,0.002,0.001
2181,0.000,0.001
2187,0.001,0.001
2192,-0.001,0.000
2198,0.000,0.000
2205,-0.001,-0.001
2211,0.001,0.000
2216,0.001,0.001
2222,0.001,0.001
2229,-0.000,0.000
2235,-0.002,-0.001
2240,0.001,-0.000
2246,0.001,0.000
2256,-0.001,-0.000
2264,-0.001,-0.001
2270,-0.002,-0.002
2277,-0.002,-0.002
2283,0.002,0.000
2288,0.000,0.000
2294,0.000,0.000
2300,-0.000,-0.000
2307,-0.002,-0.001
2312,-0.001,-0.001
2318,-0.001,-0.001
2324,-0.001,-0.001
2331,-0.000,-0.001
2336,-0.001,-0.001
2342,0.001,-0.000
2348,0.001,0.000
2355,0.000,0.000
2360,-0.001,-0.000
2366,-0.001,-0.001
2372,-0.000,-0.001
2379,0.002,0.001
2384,0.001,0.001
2390,0.001,0.001
2396,0.001,0.001
2403,-0.001,0.000
2408,0.003,0.001
2414,0.002,0.002
2420,0.002,0.002
2427,-0.002,-0.000
2432,0.001,0.000
2438,0.000,0.000
2444,0.001,0.000
2451,-0.000,0.000
2456,-0.001,-0.001
2462,0.001,0.000
2468,-0.000,-0.000
2475,-0.003,-0.002
2480,0.001,-0.000
2486,-0.002,-0.001
2492,0.000,-0.000
2499,-0.001,-0.001
2504,-0.000,-0.001
2510,-0.000,-0.000
2516,0.000,-0.000
2523,-0.002,-0.001
2533,-0.000,-0.001
2539,-0.001,-0.001
2545,0.001,-0.000
2552,-0.001,-0.000
2557,-0.002,-0.001
2563,-0.000,-0.001
2569,-0.001,-0.001
2576,0.001,-0.000
2581,0.001,0.001
2587,-0.000,0.000
2593,0.000,0.000
2604,0.000,0.000
2610,-0.002,-0.001
2615,-0.002,-0.001
2621,-0.000,-0.001
2628,0.001,-0.000
2633,0.002,0.001
2639,-0.001,0.000
2645,-0.001,-0.001
2652,-0.000,-0.000
2657,-0.000,-0.000
2663,0.003,0.001
2669,-0.001,0.000
2676,0.002,0.001
2682,0.003,0.002
2687,0.001,0.001
2693,0.000,0.001
2699,-0.001,-0.000
2706,-0.001,-0.000
2711,0.002,0.001
2717,0.002,0.001
2723,-0.001,0.000
2730,0.002,0.001
2735,0.001,0.001
2741,0.001,0.001
2747,0.001,0.001
2754,-0.001,-0.000
2759,0.001,0.000
2765,-0.000,0.000
2771,0.000,0.000
2778,-0.000,-0.000
2783,0.001,0.001
2789,0.000,0.000
2795,0.002,0.001
2803,0.000,0.001
2808,-0.001,-0.000
2814,0.000,0.000
2821,-0.001,-0.000
2826,0.001,0.000
2832,-0.000,-0.000
2838,-0.004,-0.002
2845,-0.000,-0.001
2850,-0.001,-0.001
2856,0.000,-0.000
2862,0.000,-0.000
2869,-0.000,-0.000
2874,0.001,0.001
2880,0.001,0.001
2886,-0.001,-0.000
2893,-0.000,-0.000
2898,0.000,-0.000
2904,0.001,0.001
2910,0.000,0.000
2917,-0.000,0.000
2922,-0.001,-0.000
2928,-0.000,-0.000
2934,-0.000,-0.000
2941,-0.002,-0.001
2991,-0.000,-0.001
2997,-0.003,-0.002
3004,0.000,-0.001
3009,0.002,0.000
3015,0.003,0.002
3021,-0.002,-0.000
3028,-0.000,-0.000
3033,-0.001,-0.001
3039,-0.000,-0.000
3045,0.001,0.000
3052,0.001,0.001
3057,-0.000,0.000
3063,-0.001,-0.000
3070,-0.001,-0.001
3076,-0.001,-0.001
3081,-0.000,-0.001
3087,-0.001,-0.001
3093,-0.000,-0.000
3105,-0.001,-0.001
3111,-0.001,-0.001
3117,0.001,0.000
3124,-0.001,-0.000
3129,-0.001,-0.001
3135,-0.001,-0.001
3141,-0.000,-0.000
3148,-0.001,-0.001
3153,0.000,-0.000
3159,-0.000,-0.000
3165,0.001,0.000
3172,-0.002,-0.001
3177,0.001,-0.000
3183,0.001,0.000
3189,-0.002,-0.001
3196,0.001,-0.000
3201,0.001,0.000
3207,0.002,0.001
3213,-0.000,0.000
3220,0.004,0.002
3225,0.001,0.002
3231,-0.001,0.001
3237,-0.002,-0.001
3244,-0.002,-0.002
3249,-0.001,-0.001
3255,0.002,0.000
3261,-0.000,-0.000
3268,0.000,0.000
3273,-0.001,-0.001
3279,0.001,0.000
3285,-0.000,0.000
3292,-0.000,-0.000
3297,-0.001,-0.000
3303,-0.001,-0.001
3309,-0.000,-0.000
3316,-0.000,-0.000
3321,-0.002,-0.001
3327,-0.002,-0.002
3337,0.001,-0.000
3343,-0.001,-0.001
3350,0.001,-0.000
3355,-0.002,-0.001
3361,0.000,-0.000
3367,0.000,-0.000
3379,0.000,0.000
3385,0.001,0.000
3391,0.001,0.001
3398,0.001,0.001
3403,-0.000,0.000
3409,-0.002,-0.001
3415,-0.001,-0.001
3422,0.001,0.000
3427,-0.000,-0.000
3433,-0.001,-0.000
3439,-0.001,-0.001
3446,-0.000,-0.001
3451,-0.001,-0.001
3457,-0.000,-0.000
3463,0.000,-0.000
3470,-0.002,-0.001
3475,0.000,-0.000
3481,0.001,0.000
3487,0.000,0.000
3494,-0.000,-0.000
3499,-0.000,-0.000
3505,0.000,0.000
3511,0.001,0.001
3518,-0.001,-0.000
3523,-0.002,-0.001
3529,-0.002,-0.001
3535,-0.001,-0.001
3542,0.003,0.001
3547,-0.003,-0.001
3553,-0.001,-0.001
3559,-0.002,-0.001
3566,0.001,-0.000
3571,0.001,0.000
3577,0.001,0.000
3583,-0.000,0.000
3590,-0.000,-0.000
3595,-0.000,-0.000
3601,0.002,0.001
3607,0.001,0.001
3614,0.002,0.002
3619,0.001,0.001
3625,-0.000,0.000
3631,-0.002,-0.001
3638,-0.000,-0.000
3649,0.002,0.001
3654,0.001,0.001
3660,-0.000,0.000
3667,-0.001,-0.001
3672,-0.002,-0.001
3678,0.001,-0.000
3688,-0.001,-0.001
3695,-0.001,-0.001
3701,0.000,-0.000
3707,0.001,0.000
3713,0.000,0.000
3720,-0.000,0.000
3725,0.001,0.000
3731,-0.001,-0.000
3737,-0.002,-0.001
3744,0.000,-0.001
3749,0.001,0.000
3755,0.003,0.002
3761,0.001,0.001
3768,-0.002,-0.000
3773,0.001,0.000
3779,0.001,0.001
3785,0.000,0.000
3792,0.000,0.000
3797,-0.001,-0.000
3803,-0.000,-0.000
3809,-0.002,-0.001
3816,0.001,-0.000
3821,0.000,0.000
3827,0.002,0.001
3833,0.000,0.001
3840,-0.001,-0.000
3845,-0.001,-0.000
3851,-0.002,-0.001
3857,-0.001,-0.001
3864,0.001,-0.000
3869,-0.000,-0.000
3875,-0.001,-0.001
3881,0.001,0.000
3888,0.003,0.001
3893,0.001,0.001
3899,0.002,0.002
3905,0.001,0.001
3912,-0.001,0.000
3922,0.001,0.000
3928,0.002,0.001
3934,-0.000,0.001
3941,-0.003,-0.001
3946,-0.001,-0.001
3952,-0.001,-0.001
3958,0.002,0.000
