t_ms,ax_g,ax_lpf_g
2,-0.001,-0.001
8,-0.001,-0.001
14,-0.001,-0.001
24,-0.000,-0.001
29,0.000,-0.001
35,0.001,-0.001
42,0.000,-0.000
48,-0.001,-0.001
53,0.001,-0.000
59,-0.001,-0.001
66,0.000,-0.000
71,0.000,-0.000
77,0.001,-0.000
83,0.001,-0.000
90,-0.002,-0.000
96,-0.001,-0.000
101,0.001,-0.000
107,-0.002,-0.000
114,0.000,-0.000
120,0.000,-0.000
125,0.001,-0.000
131,-0.001,-0.000
138,0.000,-0.000
143,0.001,-0.000
149,-0.000,-0.000
155,0.001,-0.000
162,-0.001,-0.000
168,0.000,-0.000
173,0.004,0.000
179,0.001,0.000
239,-0.000,0.000
245,0.001,0.000
251,0.000,0.000
257,-0.002,0.000
264,-0.001,-0.000
269,0.001,0.000
275,0.001,0.000
281,0.001,0.000
288,-0.000,0.000
293,-0.000,0.000
299,-0.001,-0.000
305,0.001,0.000
312,0.002,0.000
317,0.001,0.000
323,0.001,0.000
333,-0.000,0.000
340,-0.001,0.000
345,0.001,0.000
351,0.000,0.000
357,0.000,0.000
364,-0.002,-0.000
369,-0.000,-0.000
375,0.000,-0.000
381,0.001,0.000
388,-0.000,-0.000
394,-0.001,-0.000
400,-0.002,-0.000
406,-0.001,-0.000
413,-0.000,-0.000
418,-0.001,-0.000
428,0.001,-0.000
434,0.001,-0.000
441,-0.001,-0.000
446,-0.000,-0.000
452,0.002,-0.000
458,0.001,0.000
465,-0.002,-0.000
470,0.002,-0.000
476,0.000,-0.000
482,-0.000,-0.000
489,0.002,0.000
494,-0.000,0.000
500,-0.001,-0.000
506,-0.001,-0.000
513,0.003,0.000
518,0.003,0.000
524,0.001,0.000
530,-0.000,0.000
537,-0.000,0.000
542,-0.002,0.000
548,-0.000,0.000
554,0.002,0.000
561,0.000,0.000
566,-0.001,0.000
572,0.001,0.000
578,0.001,0.000
585,0.002,0.000
590,0.002,0.001
602,0.001,0.001
608,-0.001,0.000
614,-0.001,0.000
619,0.000,0.000
625,-0.001,0.000
631,0.001,0.000
638,0.001,0.000
643,0.000,0.000
649,-0.000,0.000
655,0.002,0.000
662,0.002,0.001
668,-0.000,0.000
673,0.001,0.000
679,0.000,0.000
686,0.003,0.001
691,0.000,0.001
697,0.003,0.001
703,0.000,0.001
710,0.000,0.001
716,-0.002,0.000
721,0.000,0.000
727,-0.001,0.000
734,0.001,0.000
740,0.001,0.000
745,-0.000,0.000
751,-0.001,0.000
758,0.001,0.000
764,-0.001,0.000
769,0.001,0.000
775,-0.000,0.000
781,-0.000,0.000
788,0.001,0.000
793,-0.003,-0.000
799,-0.001,-0.000
808,-0.002,-0.000
814,0.002,-0.000
821,0.001,-0.000
826,-0.000,-0.000
832,0.002,0.000
838,0.001,0.000
845,-0.000,0.000
850,-0.001,-0.000
856,0.002,0.000
862,0.001,0.000
874,0.001,0.000
880,0.001,0.000
886,-0.001,0.000
893,0.001,0.000
898,0.000,0.000
904,-0.001,0.000
910,-0.001,-0.000
