t_ms,roll_acc,roll_comp,pitch_acc,pitch_comp
2,0.054,0.032,-0.055,0.026
10,0.082,0.033,-0.055,0.025
17,-0.002,0.032,0.029,0.025
24,-0.030,0.031,-0.055,0.023
30,-0.086,0.029,0.001,0.023
36,-0.002,0.028,-0.055,0.021
43,0.054,0.028,-0.083,0.019
49,-0.086,0.026,-0.055,0.017
55,0.026,0.026,-0.139,0.014
62,0.110,0.028,-0.139,0.011
68,-0.086,0.025,0.029,0.011
74,0.054,0.026,0.057,0.012
81,0.026,0.026,0.029,0.013
87,0.026,0.026,0.057,0.014
93,0.026,0.026,0.057,0.014
99,-0.142,0.023,0.001,0.014
105,-0.058,0.021,0.141,0.017
166,-0.030,0.020,0.001,0.016
172,-0.002,0.019,-0.083,0.014
179,0.082,0.021,-0.055,0.012
185,0.054,0.021,-0.027,0.012
191,0.026,0.021,-0.027,0.011
198,-0.114,0.019,0.001,0.011
204,0.026,0.019,0.029,0.011
211,0.026,0.019,-0.055,0.010
217,0.110,0.021,-0.027,0.009
223,0.110,0.023,-0.139,0.006
235,0.082,0.024,-0.055,0.004
242,-0.198,0.020,0.085,0.006
248,-0.030,0.019,-0.055,0.005
255,0.054,0.019,0.057,0.006
261,-0.030,0.018,-0.055,0.004
267,-0.030,0.018,0.057,0.005
273,-0.142,0.015,0.001,0.005
280,0.082,0.016,0.141,0.008
290,-0.058,0.014,-0.055,0.007
296,0.110,0.016,0.001,0.007
303,0.026,0.016,-0.083,0.005
309,0.110,0.018,-0.139,0.003
315,0.110,0.020,-0.027,0.002
322,-0.002,0.020,-0.055,0.001
328,-0.086,0.018,-0.027,0.000
334,0.054,0.019,-0.027,-0.000
340,-0.086,0.016,-0.055,-0.002
347,0.082,0.018,0.057,-0.000
353,-0.002,0.017,0.113,0.002
359,-0.114,0.015,0.001,0.002
366,-0.058,0.013,0.113,0.004
372,-0.142,0.010,-0.055,0.003
378,0.082,0.011,0.029,0.004
385,0.054,0.012,-0.083,0.002
391,-0.030,0.011,-0.027,0.001
397,-0.170,0.008,-0.027,0.001
404,0.026,0.008,-0.055,-0.001
410,0.054,0.009,0.085,0.001
419,0.194,0.013,0.001,0.000
425,-0.114,0.010,0.001,0.001
431,0.026,0.011,0.057,0.002
438,-0.030,0.010,0.029,0.002
444,-0.030,0.009,0.113,0.005
450,0.054,0.010,0.029,0.005
457,0.110,0.012,-0.055,0.004
463,-0.086,0.010,-0.083,0.002
469,0.166,0.013,0.113,0.004
476,0.054,0.014,0.001,0.004
482,0.026,0.014,-0.111,0.002
488,-0.002,0.013,-0.083,0.000
495,-0.002,0.013,-0.027,-0.001
501,-0.058,0.012,0.029,-0.001
507,0.194,0.016,0.001,-0.001
517,-0.058,0.014,0.001,-0.000
524,0.110,0.016,0.057,0.001
530,-0.058,0.015,-0.195,-0.004
536,0.054,0.016,0.085,-0.002
543,-0.058,0.014,-0.055,-0.003
549,-0.030,0.013,0.113,-0.001
555,0.026,0.014,0.057,0.000
562,-0.086,0.012,0.113,0.003
568,-0.086,0.010,-0.027,0.002
574,-0.030,0.009,0.001,0.001
581,-0.058,0.008,0.169,0.005
587,0.054,0.009,0.085,0.006
593,0.026,0.009,0.085,0.008
602,-0.030,0.008,-0.167,0.004
608,-0.086,0.006,-0.111,0.002
615,0.054,0.007,-0.027,0.001
621,-0.030,0.007,0.085,0.003
627,-0.170,0.003,0.029,0.004
633,0.110,0.005,0.001,0.004
640,-0.002,0.005,0.029,0.004
646,0.054,0.006,0.001,0.004
652,-0.142,0.003,0.001,0.004
659,-0.002,0.003,0.001,0.004
665,0.054,0.004,-0.055,0.003
671,0.026,0.005,0.196,0.006
677,0.026,0.005,0.085,0.008
684,-0.030,0.005,-0.055,0.006
690,-0.002,0.004,0.085,0.007
696,-0.086,0.003,0.197,0.011
703,0.054,0.004,-0.027,0.010
709,-0.030,0.003,0.001,0.010
716,0.026,0.003,0.001,0.010
722,-0.058,0.002,0.141,0.012
728,-0.086,0.000,-0.027,0.012
735,-0.086,-0.002,0.001,0.012
745,-0.002,-0.002,0.085,0.013
751,-0.086,-0.004,0.057,0.014
757,0.054,-0.003,0.113,0.016
764,0.026,-0.002,0.001,0.016
770,0.026,-0.002,0.029,0.016
776,0.054,-0.000,0.029,0.016
784,-0.002,-0.000,-0.111,0.014
791,0.138,0.002,0.029,0.014
797,-0.058,0.001,-0.083,0.012
804,-0.030,-0.000,-0.111,0.010
810,-0.114,-0.003,-0.055,0.009
816,-0.030,-0.004,-0.083,0.007
823,-0.030,-0.004,-0.055,0.006
829,-0.030,-0.005,-0.055,0.004
836,0.082,-0.003,-0.083,0.003
842,0.026,-0.002,-0.027,0.002
848,-0.142,-0.005,0.001,0.002
855,-0.002,-0.005,0.001,0.002
861,0.026,-0.004,0.057,0.003
867,0.026,-0.004,0.001,0.002
874,-0.030,-0.004,-0.055,0.001
880,-0.058,-0.005,-0.055,-0.000
886,0.026,-0.005,-0.167,-0.004
892,-0.030,-0.005,-0.111,-0.006
898,-0.030,-0.005,-0.083,-0.008
905,0.054,-0.004,0.001,-0.008
911,0.026,-0.003,0.057,-0.007
917,0.082,-0.001,0.029,-0.006
924,0.082,0.000,0.057,-0.005
930,0.081,0.002,0.196,-0.001
936,0.221,0.007,0.168,0.002
943,0.054,0.008,0.085,0.004
949,0.110,0.010,0.169,0.007
956,0.054,0.011,0.364,0.014
1012,-0.114,0.008,0.029,0.015
1019,0.026,0.009,0.057,0.016
1025,0.082,0.010,-0.083,0.014
1031,-0.002,0.010,-0.111,0.011
1037,0.082,0.012,-0.055,0.010
1044,0.026,0.011,-0.083,0.008
1050,0.026,0.012,-0.111,0.006
1056,-0.086,0.010,-0.055,0.005
1063,0.110,0.012,0.085,0.007
1069,-0.002,0.011,0.113,0.009
1076,-0.142,0.008,0.001,0.009
1082,-0.058,0.007,-0.111,0.006
1088,-0.114,0.005,-0.055,0.005
1094,-0.030,0.004,-0.139,0.002
1101,0.110,0.006,-0.251,-0.003
1107,-0.002,0.006,-0.167,-0.006
1113,0.026,0.007,-0.167,-0.009
1119,-0.114,0.005,-0.223,-0.014
1126,-0.002,0.005,-0.195,-0.017
1132,0.054,0.006,-0.055,-0.018
1138,-0.002,0.006,0.085,-0.016
1145,0.026,0.007,-0.111,-0.019
1151,-0.030,0.006,0.113,-0.016
1157,0.026,0.006,0.224,-0.011
1164,-0.030,0.006,0.363,-0.004
1170,-0.002,0.006,0.280,0.002
1176,0.110,0.008,0.280,0.007
1188,-0.086,0.006,0.196,0.011
1196,-0.170,0.003,0.169,0.014
1202,-0.002,0.003,0.113,0.016
1208,-0.058,0.001,-0.027,0.015
1214,-0.114,-0.001,-0.083,0.013
1221,-0.030,-0.002,-0.027,0.012
1227,-0.114,-0.005,-0.083,0.010
1237,-0.030,-0.006,-0.111,0.008
1244,0.054,-0.005,-0.083,0.006
1250,0.138,-0.002,-0.223,0.001
1256,-0.002,-0.002,-0.083,-0.000
1262,0.026,-0.002,-0.027,-0.001
1269,-0.030,-0.002,-0.083,-0.003
1275,0.110,0.000,0.113,-0.001
1281,0.194,0.004,0.029,-0.000
1287,0.026,0.005,0.085,0.001
1294,-0.030,0.004,-0.055,-0.000
1300,-0.002,0.004,0.141,0.003
1306,0.026,0.004,0.001,0.003
1313,0.082,0.005,0.001,0.003
1319,0.082,0.007,-0.111,0.000
1325,-0.002,0.006,-0.167,-0.003
1332,-0.086,0.005,-0.167,-0.006
1338,-0.086,0.003,-0.223,-0.011
1344,0.110,0.005,-0.139,-0.013
1350,0.110,0.008,-0.251,-0.018
1357,-0.002,0.008,-0.139,-0.020
1363,-0.086,0.006,-0.167,-0.024
1375,-0.002,0.007,-0.139,-0.026
1382,0.054,0.008,0.001,-0.025
1389,-0.030,0.008,0.280,-0.019
1395,0.026,0.008,0.308,-0.013
1401,-0.058,0.007,0.252,-0.008
1407,0.026,0.008,0.252,-0.003
1414,0.109,0.010,0.363,0.005
1420,-0.114,0.007,0.113,0.007
1426,-0.114,0.005,0.196,0.011
1433,-0.086,0.003,0.253,0.016
1439,0.054,0.004,-0.111,0.013
1445,-0.114,0.001,0.001,0.012
1456,-0.002,0.001,-0.167,0.009
1462,0.110,0.002,-0.111,0.007
1468,0.026,0.003,-0.223,0.002
1474,0.138,0.005,-0.223,-0.002
1481,0.138,0.007,-0.139,-0.005
1487,0.054,0.008,-0.167,-0.008
1493,-0.086,0.006,-0.195,-0.012
1499,0.026,0.007,-0.139,-0.014
1506,-0.002,0.006,-0.027,-0.014
1512,-0.058,0.005,-0.083,-0.016
1518,-0.030,0.005,0.057,-0.015
1525,0.082,0.006,-0.027,-0.015
1531,-0.058,0.005,0.057,-0.014
1537,-0.086,0.003,0.001,-0.013
1544,0.026,0.004,0.169,-0.010
1550,0.026,0.004,-0.139,-0.012
1558,-0.002,0.004,-0.027,-0.012
1564,0.054,0.005,-0.195,-0.016
1570,-0.030,0.005,-0.223,-0.020
1576,-0.002,0.005,-0.139,-0.023
1583,-0.086,0.003,-0.055,-0.023
1589,-0.058,0.002,-0.027,-0.024
1596,0.082,0.004,-0.111,-0.025
1602,-0.030,0.003,-0.083,-0.027
1608,0.026,0.004,0.057,-0.025
1615,0.110,0.007,0.085,-0.023
1621,-0.030,0.006,0.141,-0.020
1627,0.138,0.009,0.336,-0.013
1633,-0.030,0.009,0.252,-0.007
1640,0.082,0.010,0.252,-0.002
1646,-0.030,0.009,0.224,0.002
1652,0.054,0.010,0.252,0.007
1659,-0.030,0.009,0.169,0.010
1669,-0.030,0.008,-0.027,0.010
1675,-0.030,0.007,0.225,0.014
1682,-0.086,0.005,-0.055,0.012
1688,-0.086,0.003,-0.083,0.010
1694,-0.002,0.002,-0.055,0.009
1701,-0.030,0.001,-0.083,0.008
