t_ms,roll_acc,roll_comp,pitch_acc,pitch_comp
1707,-0.030,0.000,0.001,0.008
1713,-0.058,-0.001,-0.139,0.005
1719,-0.058,-0.002,-0.055,0.004
1725,-0.086,-0.004,0.001,0.004
1732,-0.002,-0.004,-0.083,0.002
1741,-0.030,-0.004,0.113,0.004
1747,-0.142,-0.007,-0.027,0.004
1753,-0.002,-0.007,0.057,0.004
1760,0.054,-0.006,-0.055,0.003
1766,0.054,-0.004,0.001,0.003
1772,0.082,-0.002,0.085,0.005
1779,0.110,0.000,0.001,0.005
1785,-0.002,0.000,0.252,0.010
1791,-0.142,-0.002,0.057,0.011
1797,0.054,-0.001,-0.111,0.008
1804,-0.058,-0.002,-0.027,0.007
1810,-0.030,-0.003,-0.083,0.005
1816,0.194,0.001,-0.111,0.003
1823,-0.114,-0.001,-0.195,-0.002
1829,-0.030,-0.002,-0.195,-0.006
1836,0.026,-0.001,0.001,-0.006
1842,0.026,-0.001,-0.055,-0.007
1848,-0.114,-0.003,0.057,-0.006
1855,0.193,0.001,0.196,-0.002
1861,-0.058,0.000,0.057,-0.000
1867,-0.030,0.000,0.196,0.004
1873,0.137,0.003,0.196,0.007
1928,-0.030,0.002,-0.055,0.006
1934,-0.114,-0.000,-0.055,0.005
1940,0.026,0.000,-0.083,0.003
1946,-0.058,-0.001,-0.195,-0.001
1953,-0.086,-0.003,-0.083,-0.003
1962,0.026,-0.002,0.001,-0.003
1968,-0.058,-0.003,0.057,-0.002
1975,-0.030,-0.003,0.197,0.002
1981,-0.030,-0.003,-0.055,0.001
1987,-0.030,-0.004,0.001,0.001
1993,0.054,-0.003,-0.055,0.001
1999,-0.058,-0.004,0.057,0.002
2006,0.110,-0.002,0.029,0.002
2012,-0.058,-0.003,-0.111,-0.000
2018,-0.002,-0.003,0.029,-0.000
2025,-0.002,-0.003,0.057,0.001
2031,-0.142,-0.006,-0.083,-0.001
2037,-0.030,-0.006,-0.167,-0.004
2044,-0.002,-0.006,-0.055,-0.005
2050,-0.058,-0.007,-0.083,-0.007
2056,-0.058,-0.008,-0.027,-0.007
2063,-0.002,-0.008,0.001,-0.006
2069,0.026,-0.007,0.057,-0.005
2076,-0.086,-0.008,0.029,-0.005
2082,-0.058,-0.009,0.001,-0.004
2088,-0.002,-0.009,0.113,-0.002
2094,-0.058,-0.010,0.085,-0.001
2100,0.054,-0.008,0.225,0.004
2107,-0.114,-0.010,0.196,0.007
2113,-0.030,-0.011,0.085,0.009
2119,0.026,-0.010,-0.027,0.008
2126,-0.114,-0.013,0.057,0.009
2136,0.054,-0.012,-0.055,0.007
2145,0.110,-0.009,-0.139,0.004
2151,-0.086,-0.011,-0.195,0.001
2157,0.054,-0.009,-0.055,-0.000
2164,-0.058,-0.010,0.001,-0.000
2170,-0.030,-0.011,-0.083,-0.002
2176,0.054,-0.010,-0.083,-0.004
2183,-0.086,-0.011,0.001,-0.004
2189,0.026,-0.010,0.029,-0.003
2196,-0.030,-0.010,0.001,-0.003
2202,0.026,-0.010,0.029,-0.002
2208,-0.002,-0.009,-0.027,-0.003
2214,-0.058,-0.010,-0.111,-0.005
2221,0.054,-0.009,0.029,-0.004
2227,-0.030,-0.009,-0.027,-0.005
2233,-0.058,-0.010,0.029,-0.004
2239,-0.058,-0.011,0.141,-0.001
2246,0.082,-0.009,-0.055,-0.002
2252,0.138,-0.006,-0.111,-0.004
2258,0.137,-0.003,0.001,-0.004
2265,0.054,-0.001,-0.083,-0.005
2271,0.138,0.002,-0.055,-0.006
2277,0.054,0.003,-0.083,-0.008
2284,0.137,0.006,0.057,-0.007
2290,-0.086,0.004,0.001,-0.006
2296,0.026,0.004,0.085,-0.005
2303,0.082,0.006,-0.055,-0.006
2309,-0.142,0.003,0.057,-0.005
2316,0.026,0.003,0.085,-0.003
2327,-0.002,0.003,0.085,-0.001
2334,-0.114,0.001,0.001,-0.001
2341,-0.114,-0.002,-0.055,-0.002
2347,0.054,-0.000,-0.111,-0.005
2357,-0.058,-0.002,-0.055,-0.006
2363,-0.002,-0.002,-0.111,-0.008
2370,0.054,-0.001,-0.027,-0.008
2376,-0.058,-0.002,-0.083,-0.010
2382,-0.030,-0.002,0.085,-0.008
2389,0.054,-0.001,-0.083,-0.010
2395,-0.114,-0.003,-0.083,-0.011
2401,-0.030,-0.003,0.029,-0.011
2407,-0.086,-0.005,0.029,-0.010
2414,-0.058,-0.006,-0.083,-0.012
2420,-0.086,-0.007,0.085,-0.010
2426,-0.086,-0.009,0.029,-0.008
2433,-0.058,-0.010,0.057,-0.007
2439,-0.002,-0.010,0.057,-0.006
2445,-0.030,-0.010,0.113,-0.003
2452,-0.030,-0.010,0.113,-0.001
2458,-0.058,-0.011,0.113,0.001
2464,-0.086,-0.013,0.057,0.003
2470,-0.058,-0.013,-0.027,0.002
2477,-0.086,-0.015,-0.139,-0.001
2483,0.082,-0.013,0.029,-0.000
2490,-0.170,-0.017,0.085,0.001
2496,-0.114,-0.019,0.057,0.003
2502,0.026,-0.018,0.029,0.003
2514,-0.002,-0.017,-0.027,0.003
2520,-0.002,-0.017,-0.027,0.002
2526,-0.086,-0.018,0.057,0.003
2532,-0.086,-0.020,0.001,0.003
2539,0.082,-0.018,0.001,0.003
2545,-0.058,-0.019,-0.027,0.002
2551,-0.058,-0.019,-0.083,0.000
2558,-0.086,-0.021,-0.083,-0.001
2568,0.054,-0.020,-0.027,-0.002
2574,0.082,-0.018,0.029,-0.001
2581,-0.086,-0.019,-0.055,-0.002
2587,-0.030,-0.020,0.029,-0.001
2593,-0.114,-0.022,-0.027,-0.002
2599,0.054,-0.020,0.057,-0.001
2606,-0.030,-0.020,0.113,0.002
2612,0.026,-0.020,-0.055,0.001
2618,-0.058,-0.020,-0.055,0.000
2625,-0.058,-0.021,-0.055,-0.001
2631,-0.002,-0.020,0.001,-0.001
2637,-0.058,-0.021,0.001,-0.001
2644,-0.058,-0.021,0.085,0.000
2650,-0.086,-0.023,-0.027,-0.000
2656,0.026,-0.022,0.085,0.002
2663,0.026,-0.021,0.029,0.002
2669,-0.002,-0.021,0.113,0.005
2675,-0.002,-0.020,0.141,0.007
2682,0.054,-0.019,0.029,0.008
2688,0.165,-0.015,0.001,0.008
2696,0.054,-0.014,0.113,0.010
2702,-0.002,-0.013,-0.111,0.008
2708,0.026,-0.013,0.001,0.008
2714,-0.114,-0.015,0.001,0.008
2720,0.026,-0.014,0.113,0.010
2727,-0.002,-0.014,0.057,0.011
2733,-0.030,-0.014,0.085,0.012
2739,0.166,-0.011,-0.055,0.011
2746,-0.086,-0.012,0.113,0.012
2752,-0.142,-0.015,0.057,0.013
2758,-0.030,-0.015,-0.027,0.012
2765,0.054,-0.014,0.057,0.013
2771,-0.142,-0.016,-0.027,0.012
2826,0.054,-0.015,-0.055,0.010
2832,-0.030,-0.015,-0.027,0.010
2838,-0.142,-0.018,0.085,0.011
2844,-0.086,-0.019,-0.027,0.010
2851,0.054,-0.018,-0.027,0.010
2857,0.082,-0.016,-0.111,0.007
2864,0.110,-0.013,-0.027,0.007
2870,0.054,-0.012,-0.027,0.006
2876,0.026,-0.011,0.057,0.007
2882,-0.030,-0.011,0.057,0.008
2889,-0.086,-0.013,0.085,0.010
2895,0.054,-0.012,0.001,0.010
2901,-0.170,-0.015,-0.027,0.009
2907,0.138,-0.012,0.057,0.010
2915,-0.086,-0.013,-0.055,0.008
2922,-0.030,-0.014,0.085,0.010
2928,-0.002,-0.014,-0.083,0.008
2934,-0.030,-0.014,0.141,0.010
2940,-0.002,-0.014,0.057,0.011
2946,-0.030,-0.015,-0.083,0.010
2953,-0.114,-0.017,-0.083,0.008
2959,0.082,-0.016,-0.027,0.007
2965,-0.142,-0.018,-0.055,0.005
2972,-0.170,-0.021,-0.139,0.003
2978,0.026,-0.020,-0.027,0.002
2984,-0.030,-0.020,-0.111,-0.001
2991,-0.002,-0.020,0.001,-0.001
2997,0.026,-0.019,0.001,-0.001
3004,0.026,-0.018,0.169,0.002
3010,-0.002,-0.018,0.057,0.003
3016,-0.002,-0.018,0.113,0.005
3023,-0.030,-0.017,-0.083,0.004
3033,-0.142,-0.020,0.141,0.006
3039,-0.002,-0.019,-0.027,0.005
3045,0.026,-0.018,-0.083,0.003
3051,-0.030,-0.019,0.140,0.006
3058,0.026,-0.017,-0.055,0.005
3064,-0.086,-0.019,-0.139,0.002
3070,-0.114,-0.020,-0.083,0.000
3077,-0.002,-0.020,0.085,0.002
3083,0.026,-0.019,0.001,0.002
3090,-0.002,-0.019,0.085,0.004
3101,0.026,-0.018,0.085,0.005
3108,-0.058,-0.019,-0.055,0.004
3115,0.054,-0.018,-0.083,0.002
3121,-0.002,-0.017,0.057,0.003
3127,0.054,-0.016,-0.027,0.002
3133,0.054,-0.015,0.029,0.003
3140,-0.002,-0.015,0.057,0.004
3146,0.082,-0.013,0.001,0.004
3152,0.026,-0.012,0.001,0.004
3159,0.054,-0.011,-0.027,0.003
3165,0.054,-0.010,0.029,0.004
3171,-0.030,-0.010,-0.083,0.002
3178,0.054,-0.009,-0.111,-0.000
3184,0.026,-0.008,-0.055,-0.001
3190,0.110,-0.006,0.057,-0.000
3197,-0.058,-0.007,0.029,0.000
3203,0.026,-0.006,-0.111,-0.002
3209,-0.170,-0.009,-0.027,-0.002
3216,0.166,-0.006,-0.055,-0.003
3222,-0.030,-0.006,0.001,-0.003
3228,0.054,-0.005,0.001,-0.003
3235,-0.002,-0.005,-0.111,-0.005
3241,-0.030,-0.006,-0.083,-0.007
3251,-0.002,-0.006,0.057,-0.006
3257,-0.058,-0.007,-0.055,-0.007
3264,-0.002,-0.006,-0.027,-0.007
3270,-0.030,-0.007,0.141,-0.004
3276,0.138,-0.003,0.029,-0.004
3284,-0.058,-0.004,-0.027,-0.005
3290,0.054,-0.003,0.029,-0.004
3296,0.026,-0.003,0.169,-0.000
3303,0.026,-0.002,0.141,0.002
3309,-0.002,-0.002,0.085,0.004
3316,0.054,-0.001,-0.027,0.003
3322,-0.002,-0.001,0.001,0.003
3328,-0.058,-0.002,-0.055,0.002
3334,-0.030,-0.003,0.001,0.002
3341,0.026,-0.002,0.113,0.004
3347,-0.002,-0.002,0.029,0.005
3353,-0.030,-0.003,0.113,0.006
3359,-0.002,-0.003,0.001,0.006
3366,-0.058,-0.004,-0.223,0.001
3372,0.054,-0.003,0.057,0.002
3378,0.026,-0.002,-0.055,0.001
3385,-0.030,-0.003,0.001,0.001
3391,-0.002,-0.003,-0.027,0.000
3397,-0.058,-0.004,-0.055,-0.001
3404,0.082,-0.002,-0.083,-0.003
3410,-0.002,-0.002,0.057,-0.002
3416,-0.058,-0.003,-0.027,-0.002
3423,-0.030,-0.003,-0.055,-0.004
3429,-0.086,-0.005,-0.111,-0.006
3436,0.026,-0.005,-0.111,-0.008
3442,-0.030,-0.005,-0.111,-0.010
3448,0.054,-0.004,-0.083,-0.011
3458,-0.086,-0.006,0.001,-0.011
3467,0.026,-0.005,0.085,-0.009
3473,-0.030,-0.005,0.057,-0.008
3479,-0.002,-0.005,0.085,-0.006
3486,-0.114,-0.008,0.253,-0.001
3492,-0.002,-0.008,0.057,0.000
3498,-0.030,-0.008,0.001,-0.000
3505,-0.030,-0.008,0.085,0.001
3511,-0.086,-0.010,-0.027,0.001
3517,0.082,-0.008,0.057,0.002
3524,0.026,-0.008,-0.055,0.001
3530,0.054,-0.006,-0.055,-0.001
3536,0.054,-0.006,0.113,0.002
3543,-0.030,-0.006,0.113,0.004
3549,0.026,-0.006,0.057,0.004
3555,0.026,-0.005,0.029,0.005
3562,-0.002,-0.005,-0.027,0.004
3568,-0.030,-0.006,0.001,0.004
3574,0.026,-0.005,-0.027,0.003
3580,-0.002,-0.005,-0.027,0.002
3587,-0.002,-0.005,0.168,0.006
3593,-0.142,-0.008,0.057,0.006
3599,0.026,-0.007,-0.167,0.003
3606,-0.058,-0.008,-0.055,0.001
3612,-0.086,-0.009,-0.111,-0.001
3618,-0.002,-0.009,0.113,0.001
3625,-0.114,-0.011,0.001,0.001
3631,0.054,-0.010,-0.055,0.000
3637,-0.002,-0.010,0.029,0.001
3649,-0.030,-0.010,-0.083,-0.001
3656,-0.002,-0.010,-0.027,-0.002
3663,-0.002,-0.009,0.057,-0.001
3669,-0.086,-0.011,0.001,-0.001
3725,0.026,-0.009,0.141,0.002
3732,-0.142,-0.012,0.001,0.002
3738,-0.058,-0.013,0.057,0.003
3745,-0.030,-0.014,0.085,0.005
3751,-0.002,-0.014,0.001,0.004
3757,0.110,-0.012,0.001,0.004
3764,-0.086,-0.014,0.113,0.006
3770,0.110,-0.011,-0.055,0.005
3776,-0.030,-0.012,-0.027,0.004
3783,-0.030,-0.012,-0.139,0.001
3789,-0.030,-0.012,0.029,0.002
3795,-0.142,-0.015,-0.027,0.001
3802,-0.002,-0.014,-0.055,0.000
3808,-0.002,-0.014,-0.055,-0.001
3814,0.054,-0.013,0.029,-0.000
3821,-0.114,-0.016,0.001,-0.000
3827,-0.030,-0.016,-0.055,-0.002
3833,-0.002,-0.016,-0.083,-0.003
3839,-0.030,-0.016,-0.111,-0.005
3846,0.054,-0.015,0.001,-0.005
3852,0.026,-0.014,0.029,-0.004
3858,0.026,-0.013,0.057,-0.003
3870,0.054,-0.011,0.029,-0.003
3876,-0.002,-0.011,-0.055,-0.004
3882,0.110,-0.008,-0.083,-0.006
3889,0.082,-0.006,0.085,-0.004
3895,0.109,-0.004,0.029,-0.003
3901,-0.086,-0.005,0.029,-0.003
3907,-0.002,-0.005,0.113,-0.000
3914,0.054,-0.004,0.141,0.002
3920,0.166,-0.001,0.029,0.003
3926,-0.226,-0.006,0.029,0.003
3937,0.082,-0.004,0.113,0.005
3943,-0.114,-0.006,0.085,0.007
3949,-0.058,-0.007,-0.083,0.005
3956,-0.002,-0.007,-0.167,0.002
3962,-0.142,-0.010,-0.055,0.000
3968,-0.058,-0.011,-0.055,-0.000
3975,0.082,-0.009,-0.027,-0.001
3981,-0.002,-0.009,0.085,0.001
3987,-0.002,-0.009,-0.083,-0.001
3993,-0.002,-0.009,-0.027,-0.001
4000,-0.002,-0.009,-0.083,-0.003
4006,0.026,-0.008,-0.111,-0.005
4012,0.026,-0.008,0.029,-0.004
4019,0.054,-0.006,0.001,-0.004
4025,0.054,-0.005,0.113,-0.002
4031,-0.030,-0.006,-0.027,-0.003
4037,-0.002,-0.006,0.029,-0.002
4044,-0.086,-0.008,0.001,-0.002
4056,0.082,-0.006,0.113,0.000
4062,-0.030,-0.006,0.057,0.001
4068,0.082,-0.005,-0.083,-0.001
4074,-0.002,-0.005,-0.055,-0.002
4081,-0.058,-0.005,-0.083,-0.004
4087,0.110,-0.003,0.057,-0.002
4093,0.110,-0.001,-0.027,-0.003
4099,0.054,0.000,-0.083,-0.005
4106,-0.030,-0.000,0.169,-0.001
4112,-0.086,-0.002,0.057,-0.000
4118,-0.030,-0.003,0.085,0.001
4125,0.082,-0.001,-0.027,0.001
4131,0.054,0.000,-0.027,0.000
4137,-0.058,-0.001,0.029,0.001
4148,-0.058,-0.002,0.141,0.003
4154,0.026,-0.001,0.029,0.004
4160,-0.086,-0.003,-0.055,0.003
4166,-0.002,-0.003,-0.027,0.002
4173,0.026,-0.002,0.001,0.002
4179,0.026,-0.002,0.001,0.002
4185,0.110,0.001,0.141,0.005
4191,-0.002,0.000,-0.027,0.004
4198,-0.058,-0.001,-0.055,0.003
4204,-0.002,-0.001,-0.055,0.002
4210,-0.002,-0.001,0.029,0.002
4217,-0.030,-0.002,0.057,0.003
4223,0.110,0.000,-0.027,0.003
4230,-0.002,0.000,0.001,0.003
4240,0.054,0.001,-0.055,0.001
4247,-0.002,0.001,0.029,0.002
4253,-0.058,0.000,0.169,0.005
4260,-0.058,-0.001,0.001,0.005
4266,-0.058,-0.002,-0.055,0.004
4272,0.054,-0.001,0.057,0.005
4279,0.054,-0.000,0.057,0.006
4285,-0.002,-0.000,0.001,0.006
4291,-0.030,-0.001,0.057,0.007
4298,-0.058,-0.002,-0.027,0.006
4304,0.026,-0.002,0.001,0.006
4310,0.110,0.001,-0.027,0.005
4317,-0.002,0.000,-0.055,0.004
4323,-0.086,-0.001,0.141,0.007
4330,0.138,0.001,0.001,0.006
4336,0.082,0.003,0.113,0.009
4342,-0.086,0.001,0.001,0.008
4348,-0.002,0.001,0.057,0.009
4355,-0.142,-0.002,0.029,0.009
4361,-0.114,-0.004,-0.027,0.009
4371,-0.030,-0.005,0.001,0.009
4377,-0.002,-0.005,-0.139,0.005
4384,0.026,-0.004,0.001,0.005
4390,-0.114,-0.007,0.029,0.006
4396,0.110,-0.004,0.001,0.006
4403,0.026,-0.004,-0.055,0.004
4409,0.054,-0.003,-0.055,0.003
4415,-0.086,-0.004,0.001,0.003
4423,0.026,-0.004,-0.139,0.001
4430,-0.114,-0.006,-0.055,-0.000
4436,-0.058,-0.007,0.057,0.001
4443,-0.002,-0.007,-0.083,-0.001
4449,-0.002,-0.007,0.113,0.001
4456,-0.030,-0.007,-0.055,-0.000
4462,-0.002,-0.007,0.169,0.003
4468,0.054,-0.006,0.113,0.005
4475,0.026,-0.005,-0.139,0.002
4481,0.054,-0.004,-0.111,-0.000
4487,0.166,-0.000,0.085,0.002
4493,-0.002,-0.000,-0.111,-0.001
4500,-0.002,-0.000,-0.027,-0.001
4506,-0.030,-0.001,0.001,-0.001
4512,0.109,0.001,0.085,0.001
4519,-0.002,0.001,0.029,0.001
4525,-0.002,0.001,0.029,0.002
4531,-0.114,-0.001,-0.027,0.002
4537,-0.030,-0.002,0.057,0.003
4544,-0.142,-0.005,-0.055,0.002
4550,-0.002,-0.004,-0.111,-0.001
4556,-0.002,-0.004,-0.083,-0.002
4563,-0.030,-0.005,0.029,-0.002
4569,0.026,-0.004,0.057,-0.001
4624,0.026,-0.004,0.057,0.001
4630,-0.030,-0.004,0.141,0.003
4636,-0.002,-0.004,0.057,0.004
4644,-0.002,-0.004,0.141,0.007
4651,0.026,-0.003,0.029,0.007
4657,-0.002,-0.003,-0.027,0.006
