t_ms,roll_acc,roll_comp,pitch_acc,pitch_comp
2,-0.106,0.116,-0.176,0.005
9,0.034,0.116,-0.149,0.004
16,0.006,0.115,-0.205,0.003
22,0.034,0.115,-0.149,0.002
28,0.090,0.115,-0.009,0.003
35,-0.050,0.115,-0.121,0.002
41,-0.218,0.113,0.075,0.002
47,0.117,0.113,0.187,0.003
54,-0.134,0.112,0.103,0.004
60,-0.134,0.111,-0.009,0.003
67,0.062,0.111,0.103,0.004
78,-0.022,0.110,0.187,0.005
85,0.034,0.110,-0.009,0.005
92,0.006,0.109,0.019,0.005
98,0.034,0.109,0.019,0.005
104,-0.078,0.108,0.075,0.005
111,-0.050,0.107,-0.092,0.005
173,-0.106,0.106,-0.065,0.005
179,0.034,0.105,0.159,0.006
185,0.201,0.106,0.187,0.007
191,-0.022,0.105,-0.065,0.006
198,0.034,0.105,0.160,0.007
204,-0.162,0.104,-0.009,0.007
210,-0.106,0.103,-0.092,0.006
217,0.006,0.102,-0.092,0.006
223,0.034,0.102,-0.121,0.005
229,-0.134,0.101,-0.065,0.005
236,0.090,0.102,-0.037,0.004
242,0.062,0.102,-0.149,0.004
248,0.061,0.102,-0.037,0.004
254,-0.050,0.101,-0.009,0.004
261,-0.078,0.100,-0.065,0.003
267,-0.050,0.099,-0.037,0.003
274,0.090,0.099,0.075,0.004
280,-0.022,0.099,0.075,0.004
290,-0.106,0.098,0.075,0.004
296,0.034,0.098,0.075,0.005
307,-0.078,0.097,0.159,0.005
314,-0.078,0.095,-0.009,0.005
321,0.062,0.095,-0.065,0.005
327,0.006,0.094,-0.093,0.004
333,-0.134,0.093,-0.037,0.004
339,0.006,0.093,-0.009,0.005
345,-0.078,0.092,0.103,0.005
352,0.118,0.092,0.075,0.005
358,0.006,0.092,-0.065,0.005
364,-0.050,0.091,-0.093,0.005
371,-0.022,0.091,0.159,0.005
377,0.117,0.091,0.047,0.006
383,-0.106,0.090,-0.065,0.005
390,0.006,0.089,-0.065,0.005
